,0,1,2,3,4,5,6,7
12,  FIAT Tipo 5P 1.3 Multijet 70kW (95CV) Mirror  ,14.900 € ,Sevilla,2020, Diésel,51.272 km,Manual,/coches-segunda-mano/fiat-tipo-ocasion/5p-1-3-multijet-70kw-95cv-mirror-162179e9749fab-ref6503445
13,  PEUGEOT 208 5P  1.2L PureTech 60KW (82CV) Access  ,13.490 € ,Barcelona,2018, Gasolina,18.499 km,Manual,/coches-segunda-mano/peugeot-208-ocasion/5p-1-2l-puretech-60kw-82cv-access-162e07c3898c4d-ref7194925
14,  HYUNDAI i10 1.2 Tecno Edition  ,14.290 € ,Madrid,2019, Gasolina,27.430 km,Manual,/coches-segunda-mano/hyundai-i10-ocasion/1-2-tecno-edition-162e53ae8b7c73-ref7211628
15,  FORD Tourneo Courier 1.0 Ecoboost Titanium  ,14.900 € ,Barcelona,2015, Gasolina,58.426 km,Manual,/coches-segunda-mano/ford-tourneo-courier-ocasion/tourneo-courier-1-0-ecoboost-titanium-ref6901558
16,  FORD Tourneo Courier 1.5TDCi Trend 95  ,14.550 € ,Valladolid,2017, Diésel,113.228 km,Manual,/coches-segunda-mano/ford-tourneo-courier-ocasion/tourneo-courier-1-5tdci-trend-95-ref6959414
17,  OPEL Astra 1.4 Turbo S/S Selective GTC  ,10.490 € ,Madrid,2014, Gasolina,113.788 km,Manual,/coches-segunda-mano/opel-astra-ocasion/1-4-turbo-s-s-selective-gtc-162e3f359d6890-ref7209289
18,  VOLKSWAGEN Golf Business 1.2 TSI 110CV BMT  ,14.490 € ,Madrid,2016, Gasolina,98.532 km,Manual,/coches-segunda-mano/volkswagen-golf-ocasion/business-1-2-tsi-110cv-bmt-162e3b0f78b21f-ref7208511
19,  OPEL Zafira Tourer 1.6 CDTi S/S 100kW (136CV) Excellence  ,14.990 € ,Madrid,2017, Diésel,135.783 km,Manual,/coches-segunda-mano/opel-zafira-ocasion/tourer-1-6-cdti-s-s-100kw-136cv-excellence-162e53aea9c130-ref7211643
20,  CITROEN C1 1.0 VTi City Edition 72  ,11.795 € ,Valladolid,2020, Gasolina,11.007 km,Manual,/coches-segunda-mano/citroen-c1-ocasion/c1-1-0-vti-city-edition-72-ref7030504
0,  CITROEN C4 Picasso -  Spacetourer -  BlueHDi 115S&S Intensive  ,15.400 € ,Sevilla,2014, Diésel,100.000 km,Manual,/coches-segunda-mano/citroen-c4-ocasion/picasso-citroen-spacetourer-bluehdi-120-s-s-intensive-162c6ed6b911b6-ref7120872
1,  NISSAN Note 1.5dCi Acenta  ,9.900 € ,Valencia,2016, Diésel,76.000 km,Manual,/coches-segunda-mano/nissan-note-ocasion/note-1-5dci-acenta-2-ref6856534
2,  OPEL Corsa 1.3 CDTi Business 55kW (75CV)  ,11.490 € ,Madrid,2018, Diésel,31.647 km,Manual,/coches-segunda-mano/opel-corsa-ocasion/1-3-cdti-business-55kw-75cv-162e3f34a6d827-ref7209270
3,  PEUGEOT 208 3P STYLE 1.6 BlueHDi 73KW (100CV)  ,11.390 € ,Madrid,2018, Diésel,91.918 km,Manual,/coches-segunda-mano/peugeot-208-ocasion/3p-style-1-6-bluehdi-73kw-100cv-162e3b0f60c16e-ref7208506
4,  FORD EcoSport 1.5TDCi Titanium S 95  ,12.990 € ,Málaga,2018, Diésel,144.115 km,Manual,/coches-segunda-mano/ford-ecosport-ocasion/ecosport-1-50tdci-titanium-s-95-ref7193336
